"MonitoringLocationName","latitude","longitude","min_date","max_date"
"KBL_m_01.5",60.54368,-151.22294,2000-07-18,2013-05-07
"KBL_m_06.5",60.54081,-151.18278,2000-07-18,2013-05-07
"KBL_m_10.1",60.539279,-151.142263,2000-07-18,2013-05-07
"KBL_m_12.5",60.533743,-151.099258,2000-07-18,2013-05-07
"KBL_m_18.0",60.502005,-151.106973,2000-07-18,2013-05-07
"KBL_m_21.0",60.476634,-151.082099,2000-07-18,2013-05-07
"KBL_m_23.0",60.480338,-151.030847,2000-07-18,2013-05-07
"KBL_m_31.0",60.498284,-150.863121,2000-07-18,2013-05-07
"KBL_m_40.0",60.515441,-150.702069,2000-07-18,2013-05-07
"KBL_m_43.0",60.489844,-150.636905,2000-07-18,2013-05-07
"KBL_m_50.0",60.467517,-150.507789,2000-07-18,2013-05-07
"KBL_m_70.0",60.481392,-150.11502,2000-07-18,2013-05-07
"KBL_m_82.0",60.492,-149.81087,2000-07-18,2013-05-07
"KBL_t_00.0",60.550888,-151.268417,2000-07-18,2013-05-07
"KBL_t_10.0",60.548029,-151.14324,2002-04-10,2013-05-07
"KBL_t_19.0",60.482318,-151.127053,2000-07-18,2013-05-07
"KBL_t_22.0",60.483364,-151.057656,2000-07-18,2013-05-07
"KBL_t_30.0",60.489963,-150.860982,2000-07-18,2013-05-07
"KBL_t_36.0",60.53687,-150.754724,2000-07-18,2013-05-07
"KBL_t_44.0",60.481518,-150.632498,2000-07-18,2013-05-07
"KBL_t_74.0",60.484622,-149.993955,2000-07-18,2013-05-07
"KBL_t_79.5",60.489,-149.877,2009-04-28,2013-05-07
